#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
30,Goodbye in Her Eyes,Zac Brown Band,57,81,"contemporary country, country, country road, modern country rock","Country, Rock",Uncaged,06/07/2012,05:24,41,56,16,0,38,0,0,-7,D#/E♭ Major,4
31,Old Love Song,Zac Brown Band,51,111,"contemporary country, country, country road, modern country rock","Country, Rock",The Comeback,15/10/2021,03:31,75,81,2,0,74,0,0,-4,B Major,4
32,My Old Man,Zac Brown Band,56,144,"contemporary country, country, country road, modern country rock","Country, Rock",Welcome Home,12/05/2017,03:47,64,20,82,0,30,0,10,-11,E Major,4
33,Free / Into the Mystic - Live from Bonnaroo,Zac Brown Band,51,147,"contemporary country, country, country road, modern country rock","Country, Rock",Live from Bonnaroo,11/08/2009,07:25,27,54,2,0,14,0,90,-8,C♯/D♭ Major,4
34,Day That I Die (feat. Amos Lee),"Zac Brown Band,Amos Lee",53,154,"contemporary country, country, country road, modern country rock, acoustic pop, neo mellow, stomp and holler","Pop, Country, Rock, Folk/Acoustic",Uncaged,06/07/2012,04:52,62,61,29,0,52,0,10,-5,D#/E♭ Major,4
35,Young And Wild,Zac Brown Band,49,92,"contemporary country, country, country road, modern country rock","Country, Rock",JEKYLL + HYDE,28/04/2015,03:14,71,72,9,0,70,0,10,-5,F Major,4
36,Cover Me Up - Recorded at Spotify Studios NYC,Zac Brown Band,52,128,"contemporary country, country, country road, modern country rock","Country, Rock",Spotify Singles,14/06/2017,04:47,46,24,72,0,16,0,10,-10,C♯/D♭ Major,3
37,The Man Who Loves You The Most,Zac Brown Band,53,158,"contemporary country, country, country road, modern country rock","Country, Rock",The Man Who Loves You The Most,12/06/2020,03:44,51,57,25,0,44,0,10,-7,D#/E♭ Major,4
38,You and Islands,Zac Brown Band,50,124,"contemporary country, country, country road, modern country rock","Country, Rock",You and Islands,31/07/2020,03:50,65,73,3,0,67,0,20,-5,A Major,4
39,Roots,Zac Brown Band,51,115,"contemporary country, country, country road, modern country rock","Country, Rock",Welcome Home,12/05/2017,03:51,73,60,15,0,70,0,10,-7,B Major,4
