#,Song,Artist,Popularity,BPM,Genres,Parent-Genres,Album,Album-Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time-Signature,Added-At,Spotify-Track-Id,Track-Id,Album-Label
1,Tim McGraw,Taylor Swift,69,76,pop,Pop,Taylor Swift,24/10/2006,03:52,58,49,57,0,43,0,10,-6,C Major,4,13/08/2023,spotify:track:0Om9WAB5RS09L80DyOfTNa,0Om9WAB5RS09L80DyOfTNa,"Big Machine Records, LLC"
2,Picture To Burn,Taylor Swift,73,106,pop,Pop,Taylor Swift,24/10/2006,02:53,66,88,17,0,82,0,10,-2,G Major,4,13/08/2023,spotify:track:32mVHdy0bi1XKgr0ajsBlG,32mVHdy0bi1XKgr0ajsBlG,"Big Machine Records, LLC"
3,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,70,100,pop,Pop,Taylor Swift,24/10/2006,03:23,62,42,29,0,29,0,10,-7,A#/B♭ Major,4,13/08/2023,spotify:track:7zMcNqs55Mxer82bvZFkpg,7zMcNqs55Mxer82bvZFkpg,"Big Machine Records, LLC"
4,A Place in this World,Taylor Swift,61,115,pop,Pop,Taylor Swift,24/10/2006,03:19,58,78,5,0,43,0,30,-3,A Major,4,13/08/2023,spotify:track:73OX8GdpOeGzKC6OvGSbsv,73OX8GdpOeGzKC6OvGSbsv,"Big Machine Records, LLC"
5,Cold As You,Taylor Swift,61,176,pop,Pop,Taylor Swift,24/10/2006,03:59,42,48,22,0,26,0,10,-6,F Major,4,13/08/2023,spotify:track:7an1exwMnfYRcdVQm0yDev,7an1exwMnfYRcdVQm0yDev,"Big Machine Records, LLC"
6,The Outside,Taylor Swift,59,113,pop,Pop,Taylor Swift,24/10/2006,03:27,59,81,0,0,59,0,20,-4,F Major,4,13/08/2023,spotify:track:2QA3IixpRcKyOdG7XDzRgv,2QA3IixpRcKyOdG7XDzRgv,"Big Machine Records, LLC"
7,Tied Together with a Smile,Taylor Swift,60,146,pop,Pop,Taylor Swift,24/10/2006,04:08,48,58,53,0,19,0,0,-5,D Major,4,13/08/2023,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,6K0CJLVXqbGMeJSmJ4ENKK,"Big Machine Records, LLC"
8,Stay Beautiful,Taylor Swift,60,132,pop,Pop,Taylor Swift,24/10/2006,03:56,59,63,9,0,50,0,10,-5,G#/A♭ Major,4,13/08/2023,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,2ZoOmCSgj0ypVAmGd1ve4y,"Big Machine Records, LLC"
9,Should've Said No,Taylor Swift,70,168,pop,Pop,Taylor Swift,24/10/2006,04:02,48,78,1,0,47,0,20,-4,E Minor,4,13/08/2023,spotify:track:16MVSD0mGI4RMQT83Qzm69,16MVSD0mGI4RMQT83Qzm69,"Big Machine Records, LLC"
10,Mary's Song (Oh My My My),Taylor Swift,62,75,pop,Pop,Taylor Swift,24/10/2006,03:33,40,63,2,0,37,0,10,-5,D Major,4,13/08/2023,spotify:track:2QrQCMel6v2JiLxqrg4p2O,2QrQCMel6v2JiLxqrg4p2O,"Big Machine Records, LLC"
11,Our Song,Taylor Swift,77,89,pop,Pop,Taylor Swift,24/10/2006,03:21,67,67,11,0,54,0,30,-5,D Major,4,13/08/2023,spotify:track:15DeqWWQB4dcEWzJg15VrN,15DeqWWQB4dcEWzJg15VrN,"Big Machine Records, LLC"
12,I'm Only Me When I'm With You,Taylor Swift,63,144,pop,Pop,Taylor Swift,24/10/2006,03:33,56,93,0,0,52,0,10,-4,G#/A♭ Major,4,13/08/2023,spotify:track:0JIdBrXGSJXS72zjF9ss9u,0JIdBrXGSJXS72zjF9ss9u,"Big Machine Records, LLC"
13,Invisible,Taylor Swift,59,96,pop,Pop,Taylor Swift,24/10/2006,03:23,61,39,64,0,23,0,10,-6,G Major,4,13/08/2023,spotify:track:5OOd01o2YS1QFwdpVLds3r,5OOd01o2YS1QFwdpVLds3r,"Big Machine Records, LLC"
14,A Perfectly Good Heart,Taylor Swift,58,156,pop,Pop,Taylor Swift,24/10/2006,03:40,48,75,0,0,27,0,10,-6,E Major,4,13/08/2023,spotify:track:1spLfUJxtyVyiKKTegQ2r4,1spLfUJxtyVyiKKTegQ2r4,"Big Machine Records, LLC"
15,Teardrops on My Guitar - Pop Version,Taylor Swift,58,200,pop,Pop,Taylor Swift,24/10/2006,02:59,46,75,4,0,48,0,0,-4,A#/B♭ Major,4,13/08/2023,spotify:track:4pJi1rVt9GNegU9kywjg4z,4pJi1rVt9GNegU9kywjg4z,"Big Machine Records, LLC"
16,Last Christmas,Taylor Swift,53,116,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:28,70,77,31,0,69,0,10,-5,F Major,4,13/08/2023,spotify:track:2IprIjGNRlj3TfqUWCAo0C,2IprIjGNRlj3TfqUWCAo0C,"Big Machine Records, LLC"
17,Christmases When You Were Mine,Taylor Swift,47,79,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:04,63,21,65,0,39,0,0,-13,G Major,4,13/08/2023,spotify:track:1g09DZjQ7yBommCT6POY2n,1g09DZjQ7yBommCT6POY2n,"Big Machine Records, LLC"
18,Santa Baby,Taylor Swift,46,108,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,02:38,76,51,16,0,75,0,10,-7,F Major,4,13/08/2023,spotify:track:71IScwIe7bcIlpnlkbKVQw,71IScwIe7bcIlpnlkbKVQw,"Big Machine Records, LLC"
19,Silent Night,Taylor Swift,46,120,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:29,42,31,62,0,13,0,10,-8,G Major,3,13/08/2023,spotify:track:1cJkUN5LAotktryx2nPCr7,1cJkUN5LAotktryx2nPCr7,"Big Machine Records, LLC"
20,Christmas Must Be Something More,Taylor Swift,46,123,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:52,69,79,30,0,51,0,10,-5,G Major,4,13/08/2023,spotify:track:31JVjy3XWnh6C2zf4kLCXN,31JVjy3XWnh6C2zf4kLCXN,"Big Machine Records, LLC"
21,White Christmas,Taylor Swift,45,146,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,02:34,56,39,59,0,51,0,20,-9,A Major,4,13/08/2023,spotify:track:7GZ3KDorsc1yWndEtzGTjf,7GZ3KDorsc1yWndEtzGTjf,"Big Machine Records, LLC"
22,Fearless (Taylor's Version),Taylor Swift,85,100,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:01,57,74,1,0,43,0,30,-5,F Major,4,13/08/2023,spotify:track:77sMIMlNaSURUAXq5coCxE,77sMIMlNaSURUAXq5coCxE,Taylor Swift
23,Fifteen (Taylor's Version),Taylor Swift,74,95,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:54,56,65,12,0,29,0,30,-5,G Major,4,13/08/2023,spotify:track:2nqio0SfWg6gh2eCtfuMa5,2nqio0SfWg6gh2eCtfuMa5,Taylor Swift
24,Love Story (Taylor's Version),Taylor Swift,82,119,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:55,63,79,13,0,42,0,0,-4,D Major,4,13/08/2023,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift
25,Hey Stephen (Taylor's Version),Taylor Swift,73,116,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:14,79,57,11,0,80,0,0,-6,F#/G♭ Major,4,13/08/2023,spotify:track:550erGcdD9n6PnwxrvYqZT,550erGcdD9n6PnwxrvYqZT,Taylor Swift
26,White Horse (Taylor's Version),Taylor Swift,73,185,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:54,42,52,37,0,37,0,10,-7,C Major,4,13/08/2023,spotify:track:5YL553x8sHderRBDlm3NM3,5YL553x8sHderRBDlm3NM3,Taylor Swift
27,You Belong With Me (Taylor's Version),Taylor Swift,86,130,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:51,63,77,6,0,47,0,0,-5,F#/G♭ Major,4,13/08/2023,spotify:track:1qrpoAMXodY6895hGKoUpA,1qrpoAMXodY6895hGKoUpA,Taylor Swift
28,Breathe (feat. Colbie Caillat) (Taylor's Version),"Taylor Swift,Colbie Caillat",70,148,"pop, dance pop, neo mellow",Pop,Fearless (Taylor's Version),09/04/2021,04:23,51,63,16,0,32,0,20,-6,C♯/D♭ Major,4,13/08/2023,spotify:track:7HC7R2D8WjXVcUHJyEGjRs,7HC7R2D8WjXVcUHJyEGjRs,Taylor Swift
29,Tell Me Why (Taylor's Version),Taylor Swift,69,100,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:20,58,91,2,0,54,0,30,-4,G Major,4,13/08/2023,spotify:track:0k0vFacOHNuArLWMiH60p7,0k0vFacOHNuArLWMiH60p7,Taylor Swift
30,You're Not Sorry (Taylor's Version),Taylor Swift,71,134,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:21,51,44,5,0,24,0,10,-5,F#/G♭ Major,4,13/08/2023,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,6iiAfo4wTA2CVC3Uwx9uh8,Taylor Swift
31,The Way I Loved You (Taylor's Version),Taylor Swift,84,161,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:03,40,73,0,0,47,0,10,-5,F Major,4,13/08/2023,spotify:track:22bPsP2jCgbLUvh82U0Z3M,22bPsP2jCgbLUvh82U0Z3M,Taylor Swift
32,Forever & Always (Taylor's Version),Taylor Swift,74,128,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:45,60,82,2,0,67,0,10,-4,A#/B♭ Major,4,13/08/2023,spotify:track:1msEuwSBneBKpVCZQcFTsU,1msEuwSBneBKpVCZQcFTsU,Taylor Swift
33,The Best Day (Taylor's Version),Taylor Swift,68,125,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:05,64,58,49,0,47,0,10,-9,C♯/D♭ Major,4,13/08/2023,spotify:track:6ON9UuIq49xXY9GPmHIYRp,6ON9UuIq49xXY9GPmHIYRp,Taylor Swift
34,Change (Taylor's Version),Taylor Swift,67,96,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:39,50,82,0,0,34,0,10,-4,F Major,4,13/08/2023,spotify:track:3ExweHKZF9B752DPQByRVT,3ExweHKZF9B752DPQByRVT,Taylor Swift
35,Jump Then Fall (Taylor's Version),Taylor Swift,69,160,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:57,57,69,5,0,62,0,0,-6,D Major,4,13/08/2023,spotify:track:2m3ObD945KvpE5y9A1eUWm,2m3ObD945KvpE5y9A1eUWm,Taylor Swift
36,Untouchable (Taylor's Version),Taylor Swift,69,200,pop,Pop,Fearless (Taylor's Version),09/04/2021,05:12,39,53,2,0,22,0,10,-6,F Major,4,13/08/2023,spotify:track:0tQ9vBYpldCuikPsbgOVKA,0tQ9vBYpldCuikPsbgOVKA,Taylor Swift
37,Forever & Always (Piano Version) (Taylor's Version),Taylor Swift,68,119,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:27,55,27,82,0,27,0,10,-9,A Major,4,13/08/2023,spotify:track:01QdEx6kFr78ZejhQtWR5m,01QdEx6kFr78ZejhQtWR5m,Taylor Swift
38,Come In With The Rain (Taylor's Version),Taylor Swift,66,144,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:57,48,56,4,0,17,0,10,-6,D Major,4,13/08/2023,spotify:track:1n2wszmJyVkw6FHqyLnQsY,1n2wszmJyVkw6FHqyLnQsY,Taylor Swift
39,Superstar (Taylor's Version),Taylor Swift,65,172,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:23,45,56,16,0,17,0,30,-7,D Major,4,13/08/2023,spotify:track:51A8eKvvZz9uydvIZ7xRSV,51A8eKvvZz9uydvIZ7xRSV,Taylor Swift
40,The Other Side Of The Door (Taylor's Version),Taylor Swift,71,164,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:58,43,87,3,0,63,0,10,-4,E Major,4,13/08/2023,spotify:track:1cSFlSBdpT4F5vb1frQ231,1cSFlSBdpT4F5vb1frQ231,Taylor Swift
41,Today Was A Fairytale (Taylor's Version),Taylor Swift,68,158,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:01,48,78,1,0,33,0,30,-5,G Major,4,13/08/2023,spotify:track:2JoJrsEV15OzbijS47lids,2JoJrsEV15OzbijS47lids,Taylor Swift
42,You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault),"Taylor Swift,Maren Morris",66,143,"pop, classic texas country, contemporary country","Country, Pop",Fearless (Taylor's Version),09/04/2021,03:40,60,49,82,0,44,0,10,-8,D Major,4,13/08/2023,spotify:track:4CHpVfAhuxNJ3ibExe6kxO,4CHpVfAhuxNJ3ibExe6kxO,Taylor Swift
43,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,78,136,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:37,66,82,16,0,71,0,0,-6,B Minor,4,13/08/2023,spotify:track:2CYVETnhM9aytqrazYYwrK,2CYVETnhM9aytqrazYYwrK,Taylor Swift
44,We Were Happy (Taylor's Version) (From The Vault),Taylor Swift,68,106,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:04,61,37,85,0,13,0,0,-9,C Major,4,13/08/2023,spotify:track:34V9RiEPe8MNdU32qJsJa1,34V9RiEPe8MNdU32qJsJa1,Taylor Swift
45,That's When (feat. Keith Urban) (Taylor's Version) (From The Vault),"Taylor Swift,Keith Urban",70,90,"pop, australian country, australian pop, contemporary country, country, country road","Country, Pop",Fearless (Taylor's Version),09/04/2021,03:09,59,61,23,0,51,0,0,-7,F Major,4,13/08/2023,spotify:track:7eResoqEJJAVTkQYSqvO3P,7eResoqEJJAVTkQYSqvO3P,Taylor Swift
46,Don't You (Taylor's Version) (From The Vault),Taylor Swift,70,102,pop,Pop,Fearless (Taylor's Version),09/04/2021,03:28,56,47,51,0,41,0,10,-12,D#/E♭ Major,4,13/08/2023,spotify:track:4uuEGH5SVuzkkSFjo2DEiY,4uuEGH5SVuzkkSFjo2DEiY,Taylor Swift
47,Bye Bye Baby (Taylor's Version) (From The Vault),Taylor Swift,68,80,pop,Pop,Fearless (Taylor's Version),09/04/2021,04:02,62,62,33,0,53,0,10,-8,F Major,4,13/08/2023,spotify:track:4qUijfYU8EoIWiY6oSyrgT,4qUijfYU8EoIWiY6oSyrgT,Taylor Swift
48,If This Was A Movie (Taylor's Version),Taylor Swift,76,148,pop,Pop,If This Was A Movie (Taylor's Version),09/04/2021,03:57,47,70,9,0,30,0,20,-4,E Major,4,13/08/2023,spotify:track:0kAZ3H6G9Zac4PMpmobMkj,0kAZ3H6G9Zac4PMpmobMkj,Taylor Swift
49,Love Story (Taylor's Version) - Elvira Remix,"Taylor Swift,ELVIRA",64,123,"pop, ",Pop,Love Story (Taylor's Version) [Elvira Remix],23/03/2021,03:31,67,56,0,0,16,0,20,-8,B Minor,4,13/08/2023,spotify:track:5RaBeejGtdPEszYEKYECs2,5RaBeejGtdPEszYEKYECs2,Taylor Swift
50,Crazier,Taylor Swift,68,133,pop,Pop,Hannah Montana The Movie,01/01/2009,03:11,45,54,6,0,16,0,10,-5,E Major,3,13/08/2023,spotify:track:5vyxXfD5gLlyPxGZMEjtmd,5vyxXfD5gLlyPxGZMEjtmd,Walt Disney Records
51,Two Is Better Than One (feat. Taylor Swift),"BOYS LIKE GIRLS,Taylor Swift",68,128,"neon pop punk, pop punk, pop","Pop, Rock",Love Drunk,07/09/2009,04:02,52,70,19,0,25,0,10,-5,C Major,4,13/08/2023,spotify:track:1MaqkdFNIKPdpQGDzme5ss,1MaqkdFNIKPdpQGDzme5ss,Columbia
52,Should've Said No - The 3D Concert Experience,"Jonas Brothers,Taylor Swift",44,168,"boy band, pop",Pop,Music from the 3D Concert Experience,01/01/2009,04:13,36,98,2,0,34,0,80,-3,E Minor,4,13/08/2023,spotify:track:06FXaDDdg0BzXl15cthMS5,06FXaDDdg0BzXl15cthMS5,Hollywood Records
53,Mine (Taylor's Version),Taylor Swift,86,121,pop,Pop,Speak Now (Taylor's Version),07/07/2023,03:51,65,78,0,0,49,0,10,-3,G Major,4,13/08/2023,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift
54,Sparks Fly (Taylor's Version),Taylor Swift,83,115,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:21,59,76,3,0,39,0,10,-2,F Major,4,13/08/2023,spotify:track:3MytWN8L7shNYzGl4tAKRp,3MytWN8L7shNYzGl4tAKRp,Taylor Swift
55,Speak Now (Taylor's Version),Taylor Swift,83,119,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:02,73,68,25,0,64,0,10,-3,G Major,4,13/08/2023,spotify:track:5xXqyjLicvEpch72qEryFT,5xXqyjLicvEpch72qEryFT,Taylor Swift
56,Back To December (Taylor's Version),Taylor Swift,87,142,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:54,50,64,1,0,20,0,10,-4,D Major,4,13/08/2023,spotify:track:79uDOz0zuuWS7HWxzMmTa2,79uDOz0zuuWS7HWxzMmTa2,Taylor Swift
57,Dear John (Taylor's Version),Taylor Swift,83,119,pop,Pop,Speak Now (Taylor's Version),07/07/2023,06:45,42,47,2,0,13,0,10,-5,E Major,3,13/08/2023,spotify:track:1zU8j1x3yi9xalMF96pzKp,1zU8j1x3yi9xalMF96pzKp,Taylor Swift
58,Mean (Taylor's Version),Taylor Swift,82,164,pop,Pop,Speak Now (Taylor's Version),07/07/2023,03:58,52,69,31,0,62,0,10,-4,E Major,4,13/08/2023,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift
59,The Story Of Us (Taylor's Version),Taylor Swift,82,140,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:27,52,78,0,0,57,0,0,-3,E Major,4,13/08/2023,spotify:track:6dTA6y0C2ReQklntzZl8l3,6dTA6y0C2ReQklntzZl8l3,Taylor Swift
60,Never Grow Up (Taylor's Version),Taylor Swift,78,125,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:52,69,32,85,0,57,0,20,-7,D Major,4,13/08/2023,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,2EFZ9emtKWEglWUQGEQ3P9,Taylor Swift
61,Enchanted (Taylor's Version),Taylor Swift,89,82,pop,Pop,Speak Now (Taylor's Version),07/07/2023,05:53,51,53,1,0,22,0,10,-4,G#/A♭ Major,4,13/08/2023,spotify:track:3sW3oSbzsfecv9XoUdGs7h,3sW3oSbzsfecv9XoUdGs7h,Taylor Swift
62,Better Than Revenge (Taylor's Version),Taylor Swift,84,146,pop,Pop,Speak Now (Taylor's Version),07/07/2023,03:40,50,89,0,0,67,0,10,-3,B Minor,4,13/08/2023,spotify:track:0NwGC0v03ysCYINtg6ns58,0NwGC0v03ysCYINtg6ns58,Taylor Swift
63,Innocent (Taylor's Version),Taylor Swift,77,134,pop,Pop,Speak Now (Taylor's Version),07/07/2023,05:01,52,60,10,0,15,0,10,-5,C♯/D♭ Minor,4,13/08/2023,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,12nBPF4Rh4XLFJV0YLN7uj,Taylor Swift
64,Haunted (Taylor's Version),Taylor Swift,80,162,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:05,43,92,1,0,36,0,20,-2,F Major,4,13/08/2023,spotify:track:4tMzIAFTFdqGBQLdfbPces,4tMzIAFTFdqGBQLdfbPces,Taylor Swift
65,Last Kiss (Taylor's Version),Taylor Swift,80,79,pop,Pop,Speak Now (Taylor's Version),07/07/2023,06:09,55,37,45,0,16,0,10,-8,A#/B♭ Major,3,13/08/2023,spotify:track:59KOoHFcw5XfICnO57holu,59KOoHFcw5XfICnO57holu,Taylor Swift
66,Long Live (Taylor's Version),Taylor Swift,83,204,pop,Pop,Speak Now (Taylor's Version),07/07/2023,05:17,38,65,1,0,8,0,10,-4,C Major,4,13/08/2023,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift
67,Ours (Taylor's Version),Taylor Swift,77,160,pop,Pop,Speak Now (Taylor's Version),07/07/2023,03:55,54,49,45,0,35,0,10,-8,C Major,4,13/08/2023,spotify:track:3yNJkriPzWjkkDAWHIAVUq,3yNJkriPzWjkkDAWHIAVUq,Taylor Swift
68,Superman (Taylor's Version),Taylor Swift,75,132,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:34,53,74,0,0,36,0,10,-3,G Major,4,13/08/2023,spotify:track:4evLyY5Ue1Wesc61t2KXAU,4evLyY5Ue1Wesc61t2KXAU,Taylor Swift
69,Electric Touch (feat. Fall Out Boy) (Taylor's Version) (From The Vault),"Taylor Swift,Fall Out Boy",81,131,"pop, emo, modern rock, pop punk, rock","Rock, Pop",Speak Now (Taylor's Version),07/07/2023,04:26,55,86,2,0,28,0,10,-5,G Major,4,13/08/2023,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,4e3ZNTAV6PCrdYMUrUlMpQ,Taylor Swift
70,When Emma Falls in Love (Taylor's Version) (From The Vault),Taylor Swift,81,78,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:12,47,76,16,0,23,0,10,-5,D Major,4,13/08/2023,spotify:track:0zo975x58DlXbZllWvfYhg,0zo975x58DlXbZllWvfYhg,Taylor Swift
71,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,90,123,pop,Pop,Speak Now (Taylor's Version),07/07/2023,04:33,69,76,6,0,82,0,0,-5,F#/G♭ Major,4,13/08/2023,spotify:track:5kHMfzgLZP95O9NBy0ku4v,5kHMfzgLZP95O9NBy0ku4v,Taylor Swift
72,Castles Crumbling (feat. Hayley Williams) (Taylor's Version) (From The Vault),"Taylor Swift,Hayley Williams",81,148,"pop, art pop",Pop,Speak Now (Taylor's Version),07/07/2023,05:06,58,57,36,0,38,0,0,-8,G Major,4,13/08/2023,spotify:track:4ABYxlb92WBIjHu7TIKmml,4ABYxlb92WBIjHu7TIKmml,Taylor Swift
73,Foolish One (Taylor's Version) (From The Vault),Taylor Swift,82,97,pop,Pop,Speak Now (Taylor's Version),07/07/2023,05:11,67,59,62,0,54,0,10,-5,G Major,4,13/08/2023,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift
74,Timeless (Taylor's Version) (From The Vault),Taylor Swift,81,143,pop,Pop,Speak Now (Taylor's Version),07/07/2023,05:21,62,59,30,0,65,0,0,-6,D#/E♭ Major,4,13/08/2023,spotify:track:1HCdems7PQZRj42QDWLA0A,1HCdems7PQZRj42QDWLA0A,Taylor Swift
75,Both of Us (feat. Taylor Swift),"B.o.B,Taylor Swift",60,125,"atl hip hop, dance pop, pop rap, rap, southern hip hop, pop",Pop,Strange Clouds,27/04/2012,03:36,68,72,2,0,5,0,20,-7,G Major,4,13/08/2023,spotify:track:3r9bgSJlJz2zlevcBRYXko,3r9bgSJlJz2zlevcBRYXko,Rebel Rock/Grand Hustle/Atlantic
76,Highway Don't Care,"Tim McGraw,Taylor Swift,Keith Urban",69,158,"contemporary country, country, country road, pop, australian country, australian pop","Country, Pop",Two Lanes Of Freedom,01/01/2013,04:36,47,79,2,0,50,0,0,-5,D Major,4,13/08/2023,spotify:track:4wFUdSCer8bdQsrp1M90sa,4wFUdSCer8bdQsrp1M90sa,"Big Machine Records, LLC"
77,"Sweeter Than Fiction - From ""One Chance"" Soundtrack",Taylor Swift,59,135,pop,Pop,Sweeter Than Fiction,21/10/2013,03:57,71,61,0,0,67,0,0,-7,F#/G♭ Major,4,13/08/2023,spotify:track:0RFCHlNuTeUHIB36VuVbOL,0RFCHlNuTeUHIB36VuVbOL,"Big Machine Records, LLC"
78,State Of Grace (Taylor's Version),Taylor Swift,73,130,pop,Pop,Red (Taylor's Version),12/11/2021,04:55,59,71,0,0,33,0,10,-5,A Major,4,13/08/2023,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,6lzc0Al0zfZOIFsFvBS1ki,Taylor Swift
79,Red (Taylor's Version),Taylor Swift,81,125,pop,Pop,Red (Taylor's Version),12/11/2021,03:43,52,78,0,0,41,0,0,-5,C♯/D♭ Minor,4,13/08/2023,spotify:track:4OAuvHryIVv4kMDNSLuPt6,4OAuvHryIVv4kMDNSLuPt6,Taylor Swift
80,Treacherous (Taylor's Version),Taylor Swift,73,110,pop,Pop,Red (Taylor's Version),12/11/2021,04:02,65,59,3,0,30,0,10,-7,D Major,4,13/08/2023,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,3S7HNKPakdwNEBFIVTL6dZ,Taylor Swift
81,I Knew You Were Trouble (Taylor's Version),Taylor Swift,80,154,pop,Pop,Red (Taylor's Version),12/11/2021,03:39,58,56,1,0,77,0,0,-6,F#/G♭ Major,4,13/08/2023,spotify:track:6AtZLIzUINvExIUy4QhdjP,6AtZLIzUINvExIUy4QhdjP,Taylor Swift
82,All Too Well (Taylor's Version),Taylor Swift,77,186,pop,Pop,Red (Taylor's Version),12/11/2021,05:29,44,53,2,0,13,0,20,-8,C Major,4,13/08/2023,spotify:track:3nsfB1vus2qaloUdcBZvDu,3nsfB1vus2qaloUdcBZvDu,Taylor Swift
83,22 (Taylor's Version),Taylor Swift,80,104,pop,Pop,Red (Taylor's Version),12/11/2021,03:50,64,70,0,0,64,0,0,-6,G Major,4,13/08/2023,spotify:track:3yII7UwgLF6K5zW3xad3MP,3yII7UwgLF6K5zW3xad3MP,Taylor Swift
84,I Almost Do (Taylor's Version),Taylor Swift,72,146,pop,Pop,Red (Taylor's Version),12/11/2021,04:04,51,56,2,0,25,0,10,-7,E Major,4,13/08/2023,spotify:track:2r9CbjYgFhtAmcFv1cSquB,2r9CbjYgFhtAmcFv1cSquB,Taylor Swift
85,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,81,172,pop,Pop,Red (Taylor's Version),12/11/2021,03:13,57,69,3,0,72,10,0,-6,G Major,4,13/08/2023,spotify:track:5YqltLsjdqFtvqE7Nrysvs,5YqltLsjdqFtvqE7Nrysvs,Taylor Swift
86,Stay Stay Stay (Taylor's Version),Taylor Swift,71,100,pop,Pop,Red (Taylor's Version),12/11/2021,03:25,69,68,8,0,66,0,0,-7,C Major,4,13/08/2023,spotify:track:7eQj6r5PIdYKEIZjucBMcq,7eQj6r5PIdYKEIZjucBMcq,Taylor Swift
87,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),"Taylor Swift,Gary Lightbody",74,94,"pop, british singer-songwriter",Pop,Red (Taylor's Version),12/11/2021,04:59,50,53,4,0,16,0,10,-6,D Major,4,13/08/2023,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0y6kdSRCVQhSsHSpWvTUm7,Taylor Swift
88,Holy Ground (Taylor's Version),Taylor Swift,71,157,pop,Pop,Red (Taylor's Version),12/11/2021,03:22,62,81,3,0,51,0,10,-6,A Major,4,13/08/2023,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,7J4b3LVCIGO4CMBDFLPoP6,Taylor Swift
89,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,72,130,pop,Pop,Red (Taylor's Version),12/11/2021,04:44,60,41,62,0,23,0,10,-12,G Major,3,13/08/2023,spotify:track:73qMN9bXy7MSPwwGfH3wQr,73qMN9bXy7MSPwwGfH3wQr,Taylor Swift
90,The Lucky One (Taylor's Version),Taylor Swift,71,118,pop,Pop,Red (Taylor's Version),12/11/2021,04:00,69,57,7,0,54,0,0,-7,E Major,4,13/08/2023,spotify:track:4e5ayHsOLJNLTGfjau2mEw,4e5ayHsOLJNLTGfjau2mEw,Taylor Swift
